wavelength,mean_flux,median_flux,rms_flux,snr,n_spectra,mean_flux_smoothed
2900.0,16.59307208669009,16.04061693603303,3.454754411617473,4.802967189474235,51,16.160612334112766
2904.0,16.081028695794732,14.7223116386444,2.9740147402735855,5.407178544890267,51,16.130007850397167
2908.0,15.674238550972452,13.129773301463016,3.069419778027222,5.106580293506352,53,16.1481131148701
2912.0,15.947324149946695,15.201584061312806,2.9847722732121595,5.342894763889127,53,16.02789883983531
2916.0,16.44490209094655,15.858093073269748,2.9350330921143724,5.602969906925234,53,16.064323961224844
2920.0,15.992000711516145,14.433004164916213,3.4229276136521056,4.672024219189788,53,16.144707483985183
2924.0,16.2631543027424,14.889302449129037,3.357883945501787,4.843274683310149,54,16.21275075886915
2928.0,16.07615616477414,14.635355508909091,2.6954541355137995,5.9641735145716925,54,16.21317163340838
2932.0,16.287540524366523,14.712149359229926,2.990631253363482,5.446188160458889,55,16.16907559075866
2936.0,16.44700646364271,15.960939781154703,3.19979393953847,5.14002050582513,56,16.0637539718545
2940.0,15.771520498267538,13.453048746413964,3.8968525325935097,4.047245916121688,56,15.995332941787641
2944.0,15.736546208221611,13.781857909972748,3.1292555786136154,5.028846578007389,56,15.940318815744293
2948.0,15.734051014439848,14.75740203514623,4.0001481457903,3.9333670756664705,56,15.85558657577869
2952.0,16.012469894149792,14.007922588851912,2.2404971997584973,7.1468377179296505,57,15.800019566032208
2956.0,16.023345263814686,14.934169591476326,2.768768907633648,5.787173216095227,57,15.779556772634276
2960.0,15.493685449535134,14.978299003967274,2.4905691521523052,6.22094168160148,57,15.741898919652263
2964.0,15.634232241231944,14.045038707883558,3.061822147921228,5.1061856260483784,57,15.62588508018097
2968.0,15.545761749529785,13.438049707476663,2.756837435129135,5.6389838412077395,57,15.442442617104213
2972.0,15.43240069679332,13.831641534296503,3.0503718202366423,5.059186750419201,57,15.399820518313133
2976.0,15.106132948430908,14.32933132320386,2.5228024743686244,5.987838168825121,57,15.2953162351173
2980.0,15.280574955579722,14.66642048832735,3.0935619851718266,4.93947592736888,57,15.189811572380727
2984.0,15.111710825252782,14.012907930194498,2.49371003032492,6.059931043098779,57,15.087439207808211
2988.0,15.018238435846929,13.464122954647468,3.049943101341387,4.924104462552695,57,14.959764866279013
2992.0,14.920538873930742,14.493139566589749,2.7349469950019016,5.455512995753823,58,14.86975627241962
2996.0,14.467761240784911,13.378911564859909,2.4040909601686744,6.017975808939372,58,14.828052673588903
3000.0,14.83053198628276,12.823931952155636,2.59115496410862,5.7235218239386905,58,14.883108484417477
3004.0,14.903192831099195,14.654067597961625,2.4405170728210934,6.1065718396601865,58,14.820919892752737
3008.0,15.29351748998979,14.462661114017791,2.734639867016837,5.592516102192709,60,14.811249644639402
3012.0,14.609595915607043,13.26267104859992,2.633529653945895,5.547534235552296,60,14.56994655611446
3016.0,14.419410000218235,13.521212964269177,2.5449092742108,5.665981945344527,61,14.482951136104026
3020.0,13.62401654365805,13.140016506655565,2.2787611583508616,5.978694385644937,61,14.25474881459888
3024.0,14.468215731047032,13.315445330783117,2.40570855787031,6.0141182454184055,62,14.169894789814627
3028.0,14.152505882464062,13.443726184056644,2.6240955762283544,5.393289029054969,62,14.02531367940791
3032.0,14.185325791685768,12.67824163118614,2.866409482912975,4.948813446315422,63,13.996744377280791
3036.0,13.696504448184657,12.69951280489138,2.3099257243937905,5.929413358855563,64,14.005046524767334
3040.0,13.48117003302246,12.849526948187147,2.6365508426126207,5.113184170445828,64,13.959840301323533
3044.0,14.509726468479744,13.40440150622334,2.8064195271232277,5.1701915299004515,66,13.863278651182924
3048.0,13.926474765245064,12.359403460556637,2.3197828388656183,6.0033527845456245,66,13.900157474079515
3052.0,13.702517540982711,13.489202645468977,2.4392804306803932,5.6174424919076,66,14.048028625538791
3056.0,13.880898562667625,13.401162863839708,2.2003696801735235,6.308439298969509,66,13.91473807791159
3060.0,14.22052579031884,12.224520499516997,2.2591487455017942,6.294638995609927,67,13.945228229223517
