-660102701474834851 EUCL J042402.46-472900.5    66.010270   -47.483485 QSO       1.2890       2994          0       4.3174      -2.8830      15.1930 4788916920480240512  0.762438535690307617      20.7084       0.0032      19.8921       0.0109      19.7222       0.0090      19.6522       0.0091
-660086043469517114 EUCL J042402.07-465706.2    66.008604   -46.951711 QSO       1.1741       2940          0       5.7175      -2.9367      16.9648 4789317859971436288  0.827327013015747070      21.2301       0.0053      21.0256       0.0150      20.5247       0.0116      20.4886       0.0113
-660067921470633536 EUCL J042401.63-470348.1    66.006792   -47.063354 QSO       1.1654       2385          3      13.4203      -2.9974      14.6108 4789315184207177472  0.827051281929016113      20.1843       0.0031      19.4879       0.0090      19.0746       0.0068      19.0916       0.0068
-660015520467169253 EUCL J042400.37-464300.9    66.001552   -46.716925 QSO       0.2509       2292          0      14.9812      -2.0742      24.3498                                                21.5875       0.0049      19.6550       0.0079      19.2760       0.0057      18.9666       0.0055
-659679078479531082 EUCL J042352.30-475711.2    65.967908   -47.953108 QSO       1.2224       2664          0       7.9286      -2.1217      21.9279 4788877471204577152  0.323573380708694458      21.7684       0.0077      20.5831       0.0139      20.0646       0.0083      19.7122       0.0080
-659634934479576403 EUCL J042351.24-475727.5    65.963493   -47.957640 QSO       0.4259       2286          0      14.1719      -2.0567      56.7268 4788877368125334016                            21.0710       0.0048      18.9142       0.0059      18.6252       0.0043      18.2763       0.0037
-659598671483649878 EUCL J042350.37-482154.0    65.959867   -48.364988 QSO       1.8193       2712          0       6.5456      -2.8812      17.5778 4788589227359524096  0.894505500793457031      19.9644       0.0024      19.6128       0.0101      19.5543       0.0107      19.3363       0.0076
-659453077484783826 EUCL J042346.87-482842.2    65.945308   -48.478383 QSO       1.6314       2230          2       2.5828      -2.6760      14.3878                      0.129021868109703064      21.4398       0.0051      21.1737       0.0201      20.8783       0.0146      20.5180       0.0118
-659443601469663145 EUCL J042346.65-465758.7    65.944360   -46.966315 QSO       1.2650       2798          0       5.2727      -2.0595      24.9931                      0.414118707180023193      22.4585       0.0090      20.6089       0.0129      20.2437       0.0091      20.0087       0.0083
-659315410477535466 EUCL J042343.57-474512.8    65.931541   -47.753547 QSO       1.7196       2308          0      15.3771      -2.8712      16.3659 4788886885772643584  0.849954724311828613      19.7701       0.0022      19.0325       0.0069      18.7857       0.0060      18.5508       0.0047
-659009369481150219 EUCL J042336.22-480654.1    65.900937   -48.115022 QSO       1.5333       2762          0      12.2379      -2.5880      15.4555                      0.546103954315185547      22.6436       0.0107      20.1550       0.0108      19.5796       0.0074      19.0679       0.0059
-658895200477179863 EUCL J042333.48-474304.8    65.889520   -47.717986 QSO       2.3082       3002          0      11.6162      -2.9828      14.9892 4788890012508847616                            19.6030       0.0027      19.0155       0.0061      19.0840       0.0066      19.0000       0.0054
-658853900489032298 EUCL J042332.49-485411.6    65.885390   -48.903230 QSO       2.0145       2360          0       7.5278      -3.0015      15.9996 4788537447233688704                            20.0859       0.0025      19.7368       0.0115      19.7155       0.0104      19.6779       0.0092
